iter	Passed	Remaining
0	7	7441
1	13	6615
2	18	6230
3	24	5989
4	29	5878
5	34	5785
6	40	5754
7	45	5690
8	51	5629
9	56	5576
10	61	5552
11	66	5503
12	71	5445
13	76	5405
14	81	5368
15	86	5321
16	91	5288
17	96	5287
18	102	5293
19	107	5276
20	112	5263
21	117	5235
22	122	5222
23	127	5202
24	133	5193
25	137	5155
26	142	5143
27	147	5136
28	152	5116
29	157	5105
30	163	5099
31	168	5087
32	173	5077
33	178	5066
34	183	5059
35	188	5043
36	193	5029
37	198	5018
38	203	5005
39	208	5001
40	213	4992
41	218	4980
42	223	4971
43	228	4962
44	233	4950
45	238	4937
46	243	4927
47	248	4920
48	253	4915
49	258	4914
50	263	4907
51	269	4908
52	274	4898
53	279	4894
54	284	4888
55	289	4879
56	294	4869
57	299	4861
58	304	4850
59	308	4839
60	313	4824
61	318	4811
62	322	4803
63	328	4799
64	333	4795
65	338	4789
66	343	4779
67	348	4772
68	353	4766
69	358	4762
70	363	4752
71	368	4745
72	373	4739
73	378	4734
74	383	4731
75	388	4726
76	394	4723
77	398	4715
78	403	4706
79	408	4701
80	413	4695
81	419	4691
82	424	4687
83	429	4682
84	434	4676
85	439	4673
86	445	4672
87	450	4671
88	455	4667
89	461	4662
90	466	4660
91	471	4653
92	476	4645
93	480	4634
94	485	4627
95	491	4624
96	496	4618
97	501	4612
98	505	4603
99	510	4597
100	515	4591
101	520	4586
102	526	4581
103	531	4576
104	536	4572
105	541	4564
106	546	4558
107	551	4551
108	555	4544
109	561	4539
110	566	4534
111	571	4527
112	576	4521
113	580	4513
114	585	4509
115	591	4504
116	596	4503
117	602	4504
118	607	4499
119	613	4495
120	617	4488
121	622	4482
122	628	4477
123	633	4472
124	638	4466
125	643	4462
126	648	4458
127	653	4451
128	658	4445
129	663	4440
130	668	4433
131	673	4426
132	678	4419
133	683	4414
134	688	4409
135	693	4402
136	698	4397
137	703	4392
138	708	4386
139	713	4380
140	717	4371
141	722	4366
142	727	4359
143	732	4352
144	736	4344
145	741	4338
146	746	4333
147	752	4330
148	757	4324
149	762	4320
150	767	4316
151	772	4312
152	777	4305
153	782	4297
154	787	4291
155	792	4286
156	797	4280
157	801	4273
158	807	4269
159	812	4264
160	816	4257
161	821	4251
162	826	4246
163	831	4237
164	836	4232
165	841	4226
166	846	4221
167	851	4215
168	856	4209
169	860	4203
170	865	4196
171	870	4190
172	875	4186
173	881	4182
174	886	4180
175	892	4176
176	897	4171
177	901	4165
178	906	4158
179	911	4153
180	916	4148
181	921	4143
182	927	4138
183	932	4133
184	936	4127
185	942	4122
186	946	4114
187	951	4108
188	956	4103
189	961	4097
190	966	4093
191	971	4089
192	976	4084
193	982	4082
194	987	4078
195	993	4074
196	998	4071
197	1003	4066
198	1009	4062
199	1014	4057
200	1019	4052
201	1024	4047
202	1029	4040
203	1033	4034
204	1038	4028
205	1043	4023
206	1049	4019
207	1054	4013
208	1059	4008
209	1064	4002
210	1068	3997
211	1074	3992
212	1078	3984
213	1083	3979
214	1088	3973
215	1092	3966
216	1097	3961
217	1102	3954
218	1106	3946
219	1111	3942
220	1117	3937
221	1122	3932
222	1127	3926
223	1132	3922
224	1137	3917
225	1142	3911
